"DAX" "Dow Jones" "Nikkei" "VIX"
5635.02002 9882.169922 10212.459961 2762.635645
5496.27002 9762.69043 10075.049805 2953.93427
5587.450195 9962.580078 9891.099609 2803.582498
5414.959961 9712.730469 10034.740234 3085.092479
5430.819824 9789.44043 9802.950195 3116.442307
5353.350098 9771.910156 9802.950195 3119.641234
5444.22998 9802.139648 9844.30957 3094.049573
5480.919922 10005.959961 9717.44043 2936.020083
5488.25 10023.419922 9789.349609 2855.405996
5619.720215 10226.94043 9808.990234 2684.580554
5613.200195 10246.969727 9870.730469 2717.210245
5668.350098 10291.259766 9871.679688 2715.290694
5663.959961 10197.469727 9804.490234 2798.464264
5686.830078 10270.469727 9770.30957 2783.109072
5804.819824 10406.959961 9791.179688 2738.32336
5778.430176 10437.419922 9729.929688 2699.935746
5787.609863 10426.30957 9676.799805 2644.273633
5702.180176 10332.44043 9549.469727 2710.172459
5663.149902 10318.160156 9497.679688 2638.515466
5801.47998 10450.950195 9497.679688 2482.405284
5769.310059 10433.709961 9401.580078 2457.453311
5803.02002 10464.400391 9441.639648 2414.58715
5614.169922 10464.400391 9383.240234 2414.58715
5685.609863 10309.919922 9081.519531 2566.85823
5625.950195 10344.839844 9345.549805 2577.094943
5776.609863 10471.580078 9572.200195 2481.765596
5781.680176 10452.679688 9608.94043 2468.969644
5770.350098 10366.150391 9977.669922 2520.15321
5817.649902 10388.900391 10022.589844 2459.372618
5784.75 10390.110352 10167.599609 2438.899192
5688.580078 10285.969727 10140.469727 2506.71757
5647.839844 10337.049805 10004.719727 2492.00231
5709.02002 10405.830078 9862.820312 2449.775837
5756.290039 10471.5 10107.870117 2437.619572
5802.259766 10501.049805 10105.679688 2392.834104
5811.339844 10452 10083.480469 2355.725866
5903.430176 10441.120117 10177.410156 2263.595447
5844.439941 10308.259766 10163.799805 2293.665655
5831.209961 10328.889648 10142.049805 2254.638353
5930.529785 10414.139648 10183.469727 2183.621048
5945.689941 10464.929688 10378.030273 2134.356789
5957.439941 10466.44043 10378.030273 2103.646649
5957.439941 10520.089844 10536.919922 2085.732218
5957.439941 10520.089844 10494.709961 2085.732218
6002.919922 10547.080078 10634.230469 2086.37215
6011.549805 10545.410156 10638.05957 2085.732218
5957.430176 10548.509766 10546.44043 2122.840456
5957.430176 10428.049805 10546.44043 2179.782189
6048.299805 10583.959961 10654.790039 2092.770004
6031.859863 10572.019531 10681.830078 2053.102771
6034.330078 10573.679688 10731.450195 1996.161038
6019.359863 10606.860352 10681.660156 1939.858993
