time value.DAX value.Dow.Jones value.Nikkei value.VXX
2013-12-19 44.149950590479 42.6873455006121 44.0311951382988 -2.78717401425926
2013-12-20 44.4546932931323 43.0832004958517 43.8858190412381 -2.80540708590706
2013-12-23 44.8738865302852 43.2688429944543 43.8889028595953 -2.70606737985016
2013-12-24 44.8738865302852 43.3947171736472 43.925764883601 -2.65073880306097
2013-12-26 44.8738865302852 43.7352244527136 44.6324325834217 -2.60672742230002
2013-12-27 45.3494922245339 43.7217347211346 44.4391995911601 -2.64067907325808
2013-12-30 45.1734290317811 43.5833893888743 44.3516296112282 -2.67651686068087
2013-12-31 45.1734290317811 43.7204476158533 44.3516296112282 -2.6752593315822
2014-01-02 44.4540328745371 43.297524604546 44.3516296112282 -2.73121657861076
2014-01-03 44.6200743738891 43.600627868763 44.3516296112282 -2.71361211432902
2014-01-06 44.5862592289258 43.8881618141587 43.9458534893097 -2.68657659048376
2014-01-07 44.9560782961747 44.1190210361082 43.7800455356409 -2.62307460897634
2014-01-08 44.9165410903059 43.8692913523078 44.5925157522653 -2.62621821166643
2014-01-09 44.5560417382481 43.8922443566268 43.8208520830306 -2.62999073608913
2014-01-10 44.8002062803366 43.9233278316638 43.9453832817622 -2.56774603218714
2014-01-13 44.9748516603124 43.1841018514426 43.9700682323488 -2.66016986262449
2014-01-14 45.1183327962425 43.5079202909142 42.9304777577348 -2.55391384083486
2014-01-15 46.0324731409651 43.772680560157 43.9530327137764 -2.56585989572241
2014-01-16 45.9563359601888 43.7410102926095 43.5665127625827 -2.57654829576467
2014-01-17 46.0757465505081 43.9064873493271 43.4976292533734 -2.58597935532819
2014-01-21 46.0150252296508 43.9989044786235 44.0763324325411 -2.55139909700407
2014-01-22 45.9676877267753 43.8887369778887 44.0056874496515 -2.51304631425725
2014-01-23 45.5464624334978 43.3849672773057 43.6670655353235 -2.58346436000416
2014-01-24 44.4161028311731 42.373141195531 42.7539066187711 -2.80980821769582
2014-01-27 44.2136968960765 42.0437382474888 42.1763306300546 -2.85381953558346
2014-01-28 44.486522566677 42.2813682253519 42.0594034118497 -2.73813264285025
2014-01-29 44.1546335427921 41.8204386608565 43.0946191923502 -2.92046537127421
2014-01-30 44.3284291544449 42.1307471735156 42.0539225626366 -2.87079539249914
2014-01-31 44.0115772910234 41.8798071549572 42.0913433362613 -3.11285751513451
2014-02-03 43.4442661456041 41.3901208401373 41.8093345011777 -3.33354296343199
2014-02-04 43.1670946578023 41.5451133741773 40.0920385111706 -3.25872384876963
2014-02-05 43.1122847523074 41.4794007552024 40.7589230153442 -3.38698521513652
2014-02-06 43.775591740668 41.9728370115836 40.6447593532787 -3.04998420386646
2014-02-07 43.9900098609462 42.3297814087236 41.3521157755126 -2.85822066737222
2014-02-10 43.9329785590573 42.0802220472975 41.4989738030263 -2.86262179916098
2014-02-11 44.8263550573196 42.6035008158498 41.4989738030263 -2.75447982952656
2014-02-12 45.1159220453916 42.4373319307783 41.666697871819 -2.69726517914595
2014-02-13 45.3843926675247 42.7442255169521 40.9901170624166 -2.67777432690623
2014-02-14 45.6947696867628 43.0065795122232 40.4198946441554 -2.63753547056799
2014-02-18 45.6823788021258 42.7327948915452 41.8751363195387 -2.60484128583529
2014-02-19 45.6836534546101 42.4328691422608 41.3798930911801 -2.77711403296312
2014-02-20 45.4888122773574 42.5849409032119 40.4445116854936 -2.67463072421614
2014-02-21 45.6689949888731 42.6050468580701 41.7498662459278 -2.70418099189219
2014-02-24 45.9148636879697 42.8298466697437 41.470017431899 -2.68469045401903
2014-02-25 45.8695074266922 42.7634525725812 42.091819015345 -2.68406159515972
2014-02-26 45.6916015370009 42.7974332335384 41.884194695716 -2.71612710965305
2014-02-27 45.3444813778335 43.0562407467019 41.824629913058 -2.70983958990631
2014-02-28 45.8351288529079 43.3122960852599 41.7702033913814 -2.75825210245602
2014-03-03 44.2594272317181 42.5314808214567 41.0449805008667 -2.90977678261202
2014-03-04 45.3483607465296 43.2310868159876 41.4899939955705 -2.71864210497708
2014-03-05 45.1254726746541 43.2216956596182 41.8994257990692 -2.71612710965305
2014-03-06 45.129495208372 43.4194795394119 42.3996701499128 -2.7016662480614
2014-03-07 44.2209337595331 43.3872579177013 42.499543267399 -2.760138490414
2014-03-10 43.8177752318214 42.9543283538694 41.5251621401904 -2.74882123151244
2014-03-11 44.0177704207963 42.7748377308891 41.8311357649748 -2.78717401425926
2014-03-12 43.4545326141631 42.791862044666 40.7834822681718 -2.78591648516059
2014-03-13 42.646322056733 42.1590479006453 40.8723776208566 -2.89845952371046
2014-03-14 42.8289616990764 41.913013367495 39.5418943340604 -2.98019507985217
2014-03-17 43.4176416841206 42.4079795140031 39.853893138032 -2.84061620309048
2014-03-18 43.709240723588 42.6432734669869 40.1300413116293 -2.72870183477997
2014-03-19 43.8723957875886 42.3152186265754 40.2427697215377 -2.78214402361119
2014-03-20 43.9625818158458 42.626790134541 39.6008008576389 -2.76516822956882
2014-03-21 44.1840012698761 42.8828179748547 39.6008008576389 -2.78403016007592
2014-03-24 43.4549066932564 42.8514708378494 40.3940860655661 -2.78968875809005
2014-03-25 44.1625308248439 43.0790504226829 40.1973672396281 -2.75447982952656
2014-03-26 44.6835851403237 42.7382355139464 40.3078181960471 -2.804778478541
2014-03-27 44.6960222049376 42.7783458135615 40.7597009872063 -2.77082682758294
2014-03-28 45.3390918316776 43.045330213407 41.1383938772485 -2.73813264285025
2014-03-31 45.1911632778681 43.4507748176481 41.2666489246192 -2.65011019569491
2014-04-01 45.4172148791433 43.6010979192275 41.0392103989861 -2.56145882680696
2014-04-02 45.51014417773 43.6473853536331 41.2695492189855 -2.58032075731406
2014-04-03 45.5359650508674 43.6430367497111 41.4620650432961 -2.57717715462397
2014-04-04 45.8525767642221 43.3478613323283 41.4919595658911 -2.63061934345519
2014-04-07 44.9780659900511 43.0418386435021 41.1701542084883 -2.69097765939921
2014-04-08 44.8832016298431 43.0250955477852 40.605788748562 -2.64193653948344
2014-04-09 44.9567848947467 43.349423242054 39.8701140668641 -2.57654829576467
2014-04-10 44.7117705843352 42.5341588647124 39.9874641506381 -2.73121657861076
2014-04-11 44.0532389129703 41.968277486909 38.9534917472061 -2.81358067924522
2014-04-14 44.166170038744 42.2939289691438 38.8005267766081 -2.79031761694935
2014-04-15 43.3836879944978 42.6781145942197 39.1587925057021 -2.76139570514611
2014-04-16 44.0652049087168 43.1820399232098 40.3477313970259 -2.66268460645528
2014-04-17 44.4997632149079 43.1017084974185 40.1702135493499 -2.62244575011704
2014-04-21 44.4997632149079 43.2461902005874 40.374458386003 -2.57403330044064
2014-04-22 45.4000948669455 43.4205367339467 39.9768713498308 -2.57088963487723
2014-04-23 45.1357391432131 43.4153897409026 40.4315856330727 -2.57780576199003
2014-04-24 45.1569694381784 43.3494279998695 40.0360699925764 -2.61238602031415
2014-04-25 44.4611727576779 42.9780418089976 40.1261929411818 -2.62999073608913
2014-04-28 44.6730877624224 43.1791948546873 39.7733520590448 -2.57466215929994
2014-04-29 45.3245719153293 43.3627129424071 39.7031456196268 -2.5275071758489
2014-04-30 45.4149472980433 43.4882380105906 39.6437047048137 -2.53065077853899
